path,label,video_id,half,frame
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_003251_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,3251
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_003252_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,3252
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_003300_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,3300
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_003349_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,3349
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_003379_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,3379
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_006093_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,6093
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_006094_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,6094
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_006891_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,6891
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_006892_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,6892
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_006937_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,6937
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_013808_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,13808
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_014939_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,14939
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_015567_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,15567
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_015568_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,15568
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_017225_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,17225
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_017226_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,17226
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_017252_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,17252
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_018878_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,18878
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_019288_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,19288
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_025133_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,25133
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_025134_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,25134
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_025187_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,25187
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_025188_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,25188
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_025189_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,25189
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_025460_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,25460
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_025461_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,25461
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_027755_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,27755
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_028009_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,28009
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_029507_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,29507
header_net/cache/cache_header/2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt_half2_032417_1,1,2015-04-11-16-30BayernMunich3-0EintrachtFrankfurt,2,32417
